Date,BA,CAT,CSCO,GS,IBM,JNJ,JPM,MCD,NKE,TRV,UNH,UTX,V,WBA,WMT
08/10/14,124.980003,96.650002,24.66,186.639999,189.360001,104.910004,60.400002,93.830002,44.415001,94.449997,86.620003,102.629997,53.09,61.459999,78.239998
09/10/14,122.760002,93.5,24.190001,181.270004,186.419998,102.080002,59.080002,92.720001,43.615002,93.889999,84.940002,99.940002,51.927502,61.549999,77.860001
10/10/14,121.5,93.129997,23.34,180.380005,185.929993,101.230003,58.52,92.300003,43.595001,94.040001,85.389999,99.940002,51.244999,62.990002,78.290001
13/10/14,120.449997,91.68,22.93,178.770004,183.520004,99.120003,58.16,90.730003,42.695,93.519997,83.949997,99.309998,51.07,60.689999,77.559998
14/10/14,122.290001,92.800003,23.059999,178.699997,183.800003,97.010002,57.990002,91.099998,42.544998,93.68,82.82,100.120003,50.68,60.689999,77.980003
15/10/14,120.190002,92.589996,22.959999,177.240005,181.75,98.209999,55.529999,90.440002,42.59,91.989998,82.160004,99.169998,50.0625,60.950001,75.199997
16/10/14,120.290001,93.239998,22.82,172.580002,179.839996,96.779999,55.080002,89.910004,43.52,91.809998,85.389999,99.230003,50.75,60.389999,73.82
17/10/14,123.239998,95.050003,23.25,176.910004,182.050003,98.699997,56.200001,91.040001,43.59,93.239998,88.18,101.529999,51.5,60.27,74.099998
20/10/14,124.309998,94.029999,22.93,177.839996,169.100006,99.199997,56.630001,91.589996,44.450001,93.199997,88.540001,101.480003,51.962502,60.200001,75.139999
21/10/14,127.120003,95.889999,23.51,180.179993,163.229996,100.360001,57.93,91.010002,45.32,94.239998,90.949997,101.980003,53.327499,61.549999,76.019997
22/10/14,121.449997,94.57,23.26,176.830002,161.789993,101.220001,57.450001,90.940002,44.93,95.580002,89.769997,101.18,52.73,61.5,76.029999
23/10/14,122.029999,99.269997,23.57,180.059998,162.179993,102.629997,58.060001,91.019997,45.185001,96.769997,90.660004,103.18,53.57,62.07,76.25
24/10/14,122.239998,99.440002,23.780001,183.350006,162.080002,103.129997,58.740002,91.669998,45.450001,97.730003,91.639999,103.82,53.369999,62.650002,76.379997
27/10/14,122.120003,98.540001,23.76,183.910004,161.869995,104.07,58.639999,92.010002,45.82,98.870003,92.129997,104.190002,53.352501,63.110001,76.589996
28/10/14,123.610001,101.160004,24.07,186.320007,163.600006,104.790001,59.630001,92.599998,46.224998,99.730003,92.639999,106.269997,54.177502,63.700001,76.349998
29/10/14,123.080002,100.190002,24.1,186.080002,163.460007,105.559998,59.290001,92.730003,45.974998,99.419998,92.959999,105.849998,53.665001,62.830002,76.389999
30/10/14,123.82,100.160004,24.08,186.970001,164.350006,107.040001,59.389999,93.379997,46.5,100,93.879997,106.339996,59.162498,62.959999,76.449997
31/10/14,124.910004,101.410004,24.469999,189.990005,164.399994,107.779999,60.48,93.730003,46.485001,100.800003,95.010002,107,60.357498,64.220001,76.269997
03/11/14,126.029999,100.220001,24.58,190.830002,164.360001,107.459999,60.880001,93.610001,46.724998,99.949997,94.860001,106.300003,60.384998,64.980003,76.279999
04/11/14,125.839996,98.610001,24.879999,190.270004,162.649994,108.620003,60.25,94.470001,46.974998,101.129997,94.980003,106.879997,60.7425,65.239998,77.260002
05/11/14,124.220001,99.410004,25.15,189.839996,161.820007,108.82,61.150002,94.639999,47.34,101.489998,95.800003,107.93,62.3825,65.660004,77.699997
06/11/14,124.580002,100.910004,25.26,191,161.460007,109.010002,61.23,94.660004,47.299999,101.910004,96.209999,108.580002,62.522499,66.650002,77.809998
07/11/14,124.449997,101.760002,25.33,190.710007,162.070007,108.199997,61.470001,95.099998,46.889999,102.370003,93.610001,109.080002,63.107498,66.919998,78.769997
10/11/14,124.639999,102.209999,25.15,191.800003,163.490005,108.82,61.93,95.110001,47.48,102.989998,94.75,109,62.552502,67.779999,79.440002
11/11/14,125.360001,102.529999,25.15,191.880005,163.300003,108.910004,61.369999,95.139999,47.439999,102.940002,95.690002,108.260002,62.432499,67.5,79.010002
12/11/14,125.870003,102.989998,25.110001,190.179993,161.919998,108.75,60.560001,95.330002,47.904999,103.059998,95.68,108.139999,62.987499,67.440002,79.199997
13/11/14,128.529999,101.110001,25.68,190.240005,162.789993,109.07,60.23,95.480003,48.060001,103.230003,95.900002,108.139999,62.73,66.959999,82.940002
14/11/14,128.860001,101.339996,26.32,189.979996,164.160004,108.160004,60.279999,96.209999,47.75,102.43,95.110001,107.449997,62.209999,66.93,82.959999
17/11/14,128.419998,101.699997,26.469999,189.929993,164.160004,108.300003,60.380001,95.970001,48.029999,102.75,96.470001,107.370003,62.450001,66.550003,83.57
18/11/14,130.660004,102.040001,26.6,189.639999,161.889999,108.830002,60.529999,96.410004,48.235001,102.849998,98.190002,108.800003,62.432499,68.059998,83.790001
19/11/14,131.610001,101.300003,26.59,189.190002,161.429993,108.760002,60.599998,96.559998,48.474998,103.029999,96.860001,108.660004,62.465,67.790001,84.989998
20/11/14,131.699997,102.089996,26.809999,189.75,160.639999,108.18,60.119999,96.639999,48.650002,103.459999,96.849998,108.82,62.9175,67.339996,84.580002
21/11/14,132.779999,106.449997,26.879999,189.589996,160.919998,107.860001,60.450001,96.68,48.709999,103.809998,96.709999,110.300003,63.555,67.589996,84.650002
24/11/14,134.610001,105.959999,27.030001,190.070007,162.149994,106.879997,60.959999,97.169998,48.974998,103.790001,96.900002,108.790001,63.654999,67.730003,85.400002
25/11/14,134.809998,106.239998,27.280001,188.860001,161.759995,106.699997,60.299999,97,48.645,103.43,97.900002,111.709999,64.315002,67.809998,84.949997
26/11/14,134.779999,105.790001,27.43,188.520004,161.949997,107.209999,60.34,96.220001,48.900002,104.370003,98.110001,110.160004,64.315002,68.470001,84.980003
28/11/14,134.360001,100.599998,27.639999,188.410004,162.169998,108.25,60.16,96.809998,49.645,104.449997,98.629997,110.080002,64.547501,68.610001,87.540001
01/12/14,132.389999,99,27.59,188.199997,161.539993,108.029999,60,95.779999,48.845001,104.440002,99.059998,109.690002,64.537498,67.769997,86.220001
02/12/14,132.279999,99.510002,27.82,190.190002,162.669998,108.510002,61.080002,95.110001,49.02,104.400002,99.830002,109.68,65.002502,66.75,86.400002
03/12/14,131.970001,100.18,27.950001,190.949997,164.520004,107.720001,61.540001,95.5,49.25,105.190002,100.800003,110.989998,65.400002,67.379997,84.940002
04/12/14,131.320007,99.669998,27.77,191.949997,164.050003,107.559998,61.380001,95.660004,49.525002,105.099998,99.669998,111.209999,65.285004,67.900002,84.760002
05/12/14,132.210007,98.779999,27.5,195.449997,163.270004,108.510002,62.700001,96.309998,49.665001,105.199997,100.330002,111.290001,65.837502,68.599998,84.120003
08/12/14,130.279999,95.25,27.23,196.619995,161.860001,108.519997,62.669998,92.610001,48.860001,105.839996,99.919998,113.050003,65.775002,67.730003,84.230003
09/12/14,129.660004,95.449997,27.42,196.889999,162.990005,108.050003,62.450001,91.360001,48.514999,105.019997,101.019997,114.989998,66.035004,68.589996,83.559998
10/12/14,124.639999,93.019997,26.870001,192,160.509995,106.239998,60.68,90,48.830002,104.260002,99.089996,113.5,65.43,68.150002,82.980003
11/12/14,123.370003,92.690002,26.99,193.539993,161.070007,106.720001,61.139999,90.970001,48.465,104.57,99.730003,114.040001,65.779999,73.010002,83.830002
12/12/14,120.769997,90.5,26.860001,188.820007,155.380005,104.43,60.040001,90.620003,48.084999,103.160004,98.760002,112.150002,64.195,74.5,83.809998
15/12/14,122.080002,89.75,26.68,185.539993,153.059998,103.959999,59.16,88.459999,47.715,103.089996,98.269997,111.910004,64.175003,73.440002,83.940002
16/12/14,124.25,89.339996,26.59,183.309998,151.410004,102.760002,58.43,88.720001,46.605,103.080002,95.849998,113.230003,63.352501,72.389999,82.959999
17/12/14,125.059998,89.75,26.809999,185.029999,151.929993,104.07,59.77,91.650002,47.25,104.410004,99.139999,113.900002,64.769997,71.989998,84.230003
18/12/14,125.669998,91.690002,27.65,191.610001,157.679993,106.809998,61.48,93.669998,48.540001,105.949997,102.239998,116.959999,66.040001,74.379997,85.940002
19/12/14,126.230003,91.709999,27.77,193.279999,158.509995,105.550003,61.93,93.220001,47.419998,105.75,102.489998,115.589996,65.417503,73.230003,85.160004
