Date,BA,CAT,CVX,GS,INTC,JPM,MCD,MSFT,NKE,PFE,UNH,VZ,WBA,XOM,MMM
07/04/17,178.850006,95.519997,108.860001,227.880005,36.029999,86.18,129.960007,65.68,55.110001,34.099998,166.020004,48.66,82.330002,82.760002,189.990005
10/04/17,177.559998,97.139999,109.43,228.889999,35.799999,85.879997,129.979996,65.529999,54.900002,34.040001,165.479996,48.540001,82.510002,83.129997,189.710007
11/04/17,178.570007,97.099998,108.970001,227.740005,35.740002,85.730003,131.199997,65.480003,54.919998,33.93,165.830002,48.700001,82.68,82.839996,190.070007
12/04/17,176.050003,94.860001,108.970001,225.75,35.630001,85.400002,131.259995,65.230003,55.57,33.919998,165.559998,48.919998,82.57,82.970001,189.699997
13/04/17,175.619995,93.099998,106.099998,223.320007,35.25,84.400002,130.759995,64.949997,55.34,33.880001,164.960007,48.619999,82.480003,81.690002,188.649994
17/04/17,179.020004,94.139999,106.169998,226.259995,35.48,85.860001,131.350006,65.480003,56.240002,34,167.179993,48.810001,83.129997,81.580002,190.360001
18/04/17,177.850006,94.389999,105.68,215.589996,35.77,85.160004,132.300003,65.389999,56.110001,33.84,168.589996,49.220001,82.82,81.050003,190.220001
19/04/17,178.399994,93.470001,104.230003,214.089996,35.91,84.459999,132.639999,65.040001,55.860001,33.610001,169.25,48.939999,83.510002,80.489998,189.830002
20/04/17,179.300003,94.660004,104.879997,218.059998,36.18,85.550003,133.270004,65.5,56.400002,33.740002,171.539993,48.41,84.139999,81.010002,191.160004
21/04/17,180.380005,94.32,104.889999,216.860001,36.32,84.519997,133.410004,66.400002,55.849998,33.639999,171.160004,47.25,84.029999,80.690002,191.5
24/04/17,182.059998,96.809998,105.93,223.220001,36.75,87.5,134.229996,67.529999,55.470001,33.740002,172.330002,47.049999,84.279999,81.110001,194.229996
25/04/17,183.509995,104.419998,106.730003,226.630005,36.869999,88.260002,141.699997,67.919998,55.450001,33.759998,174.039993,46.700001,85.919998,81.730003,195.130005
26/04/17,181.710007,104.660004,106.080002,226.199997,36.93,88.43,140.839996,67.830002,55.16,33.849998,174.380005,47.360001,85.919998,81.400002,195
27/04/17,183.220001,102.68,105.470001,225.809998,37.43,87.610001,140.869995,68.269997,55.470001,33.860001,174.630005,46.669998,85.889999,81.260002,196.110001
28/04/17,184.830002,102.260002,106.699997,223.800003,36.150002,87,139.929993,68.459999,55.41,33.919998,174.880005,45.91,86.540001,81.650002,195.830002
01/05/17,182.389999,102,105.919998,224.850006,36.310001,87.059998,141.149994,69.410004,54.990002,33.779999,174.589996,45.880001,86.459999,82.059998,194.809998
02/05/17,183.440002,101.510002,105.360001,225.119995,36.970001,86.5,141.229996,69.300003,55.07,33.610001,174.139999,45.91,85.809998,82.050003,196.529999
03/05/17,183.389999,101.540001,106.720001,226.309998,36.98,87,142.619995,69.080002,54.529999,33.470001,172.539993,46.150002,85.790001,82.699997,197.630005
04/05/17,183.070007,99.389999,104.809998,226.589996,36.849998,87.099998,143.449997,68.809998,54.470001,33.450001,174.020004,45.880001,86.050003,81.639999,199.509995
05/05/17,185.009995,99.639999,105.790001,226.869995,36.82,87,143.960007,69,53.950001,33.48,174.119995,46.689999,85.889999,82.019997,199.399994
08/05/17,186.020004,99.370003,106.68,225.029999,36.540001,87.099998,144.240005,68.940002,54.299999,33.450001,174.440002,46.630001,85.839996,82.889999,198.649994
09/05/17,186.910004,99.290001,105.080002,223.759995,36.369999,86.75,144.360001,69.040001,54.889999,33.380001,173.240005,46.419998,85.980003,82.309998,197.960007
10/05/17,183.179993,100.360001,106.5,224.880005,36.009998,87.43,144.520004,69.309998,54.560001,33.029999,173.389999,46.380001,85.620003,81.910004,196.639999
11/05/17,183.940002,100.989998,106.209999,224.759995,35.689999,87.160004,144.210007,68.459999,54.240002,33.040001,173.320007,46.02,85.5,82.610001,196.75
12/05/17,183.25,100.709999,105.959999,222.820007,35.529999,86.919998,145.360001,68.379997,54.200001,33.009998,171.809998,45.84,85.25,82.550003,196.570007
15/05/17,182.389999,102.419998,106.849998,225.119995,35.630001,87.339996,146.279999,68.43,53.77,33.119999,171.529999,45.380001,84.959999,82.800003,197.630005
16/05/17,182.699997,102.339996,107.25,225.600006,35.82,87.610001,147.289993,69.410004,52.779999,32.599998,168.119995,45.310001,84.510002,82.550003,197.910004
17/05/17,178.779999,100.139999,104.699997,213.720001,35.040001,84.269997,146.410004,67.480003,51.799999,32.23,168.860001,44.48,81.730003,81.989998,194.839996
18/05/17,177.399994,100.220001,105.169998,215.160004,35.220001,83.959999,147.009995,67.709999,51.68,32.220001,171.449997,45.040001,81.449997,81.75,195.240005
19/05/17,180.759995,102.43,106.519997,215.389999,35.400002,84.779999,148.149994,67.690002,51.77,32.459999,172.589996,45.419998,80.610001,81.93,195.800003
22/05/17,183.669998,102.290001,106.120003,216.020004,35.77,84.699997,148.190002,68.449997,51.57,32.119999,174.699997,45.48,81.339996,82.290001,198.509995
23/05/17,183.490005,103.629997,106.269997,219.639999,35.860001,85.760002,147.820007,68.68,52.200001,32.139999,175.220001,45.48,81.239998,82.580002,197.729996
24/05/17,185.25,103.949997,106.220001,223.830002,36.119999,85.709999,149.5,68.769997,52.009998,32.049999,175.589996,45.040001,80.580002,82.290001,197.490005
25/05/17,187.070007,105.019997,105.110001,222.470001,36.259998,85.349998,149.779999,69.620003,52.349998,32.16,178.050003,45.310001,80.75,81.75,199.539993
26/05/17,186.589996,105.660004,104.720001,223.529999,36.259998,85.360001,149.860001,69.959999,52.59,32.139999,177.5,45.32,81.25,81.550003,200.669998
30/05/17,186.880005,105.470001,104.059998,218.419998,36.18,83.900002,149.929993,70.410004,52.919998,32.130001,176.589996,46.200001,80.160004,81.099998,202.440002
31/05/17,187.630005,105.43,103.480003,211.259995,36.110001,82.150002,150.889999,69.839996,52.990002,32.650002,175.179993,46.639999,81.019997,80.5,204.470001
01/06/17,187.320007,105.650002,104.269997,215.009995,36.119999,83.059998,152.389999,70.099998,52.299999,32.709999,179.580002,46.509998,82.18,80.699997,204.350006
02/06/17,190.229996,105.949997,103.110001,213.309998,36.32,82.639999,153.740005,71.760002,52.98,32.540001,179.389999,46.439999,83.099998,79.5,206.699997
05/06/17,188.949997,105.199997,103.190002,213.990005,36.34,82.790001,152.789993,72.279999,53.009998,32.349998,179.369995,46.369999,83.379997,80.120003,206.220001
06/06/17,186.75,104.550003,104.169998,214.529999,36.130001,82.959999,151.229996,72.519997,52.48,32.07,180.820007,46.439999,81.449997,81.209999,205.410004
07/06/17,188.100006,103.510002,103.769997,215.779999,36.259998,83.910004,151.940002,72.389999,53.23,32,183.210007,46.5,81.459999,80.910004,205.009995
08/06/17,189.929993,105.010002,104,218.759995,36.48,84.949997,151.429993,71.949997,53.200001,31.75,181.690002,46.189999,81.470001,80.620003,205.940002
09/06/17,190.029999,105.919998,106.400002,222.440002,35.709999,86.959999,151.479996,70.32,53.459999,32.77,181.460007,46.720001,80.989998,82.129997,206.929993
12/06/17,190,106.07,108.040001,221.910004,35.73,86.980003,148.470001,69.779999,54.029999,32.700001,179.25,47.189999,81.809998,82.93,207.389999
13/06/17,191.089996,105.75,108.129997,224.199997,35.880001,87.269997,149.820007,70.650002,54.310001,32.580002,181.050003,46.459999,81.800003,82.959999,209.110001
14/06/17,192.380005,104.709999,106.599998,226.509995,35.529999,87.089996,150.679993,70.269997,54.66,32.689999,182.360001,46.689999,82.879997,82.07,210.009995
15/06/17,195.449997,106.400002,106.330002,223.229996,35.310001,86.57,151.169998,69.900002,52.900002,32.810001,180.380005,46.639999,82.559998,82.260002,211.289993
16/06/17,196.440002,107.599998,108.349998,221.809998,35.209999,86.18,151.990005,70,51.099998,32.970001,181.630005,46.630001,78.440002,83.489998,213.240005
19/06/17,199.080002,107.489998,107.459999,226.130005,35.509998,88.07,153.139999,70.870003,52.02,33.220001,183.020004,46.57,79.809998,82.760002,213.360001
20/06/17,198.330002,107.040001,106.480003,225.100006,34.860001,87.519997,154.070007,69.910004,51.560001,33.560001,183.270004,45.939999,78.300003,82.309998,213.360001
21/06/17,199.169998,103.470001,104.489998,222.490005,34.580002,87.120003,153.729996,70.269997,52.59,33.880001,184.919998,45.41,78.120003,81.440002,212.860001
22/06/17,199.440002,103.839996,104.449997,219.770004,34.360001,87.019997,154.800003,70.260002,52.400002,34.060001,186.5,45.419998,76.370003,81.080002,212.220001
23/06/17,202.229996,104.110001,105,217.190002,34.189999,86.860001,154.639999,71.209999,52.849998,34.169998,185.25,45.389999,76.339996,81.610001,212.899994
26/06/17,199.979996,104.25,104.139999,220.440002,34.07,87.239998,153.960007,70.529999,53.279999,34.040001,185.119995,45.75,77.529999,81.239998,212.610001
27/06/17,198.889999,103.93,104.07,220.279999,33.650002,88.050003,153.720001,69.209999,52.950001,33.77,184.600006,44.84,77.260002,81.110001,209.779999
28/06/17,199.619995,106.449997,104.279999,223.220001,34.200001,89.82,154.300003,69.800003,53.360001,33.75,185.699997,44.84,77.089996,81.529999,210.619995
29/06/17,197.460007,105.639999,104.120003,224.410004,33.540001,91.150002,153.130005,68.489998,53.169998,33.630001,185.270004,44.41,78.370003,80.699997,207.850006
30/06/17,197.75,107.459999,104.330002,221.899994,33.740002,91.400002,153.160004,68.93,59,33.59,185.419998,44.66,78.309998,80.730003,208.190002
03/07/17,198.589996,106.970001,106.300003,227.279999,33.459999,92.75,152.5,68.169998,58.650002,33.82,186.649994,45,78.129997,82.099998,209.830002
05/07/17,201.809998,107.489998,104.620003,228.039993,34.34,93.68,153.070007,69.080002,57.560001,33.639999,188.25,44.650002,78.639999,80.849998,209.759995
06/07/17,201.479996,106.510002,103.82,226.690002,33.630001,93.379997,153.089996,68.57,57.16,33.220001,186.940002,43.52,77.720001,80.120003,208.020004
07/07/17,202.369995,106.919998,103.489998,225.279999,33.880001,93.849998,156.270004,69.459999,57.98,33.349998,187.960007,43.48,77.470001,80.220001,209.589996
10/07/17,203.960007,107.839996,103.040001,225.839996,33.650002,93.190002,155.520004,69.980003,58.73,33.41,186.949997,43.200001,77.160004,80.160004,210.490005
11/07/17,206.270004,108.239998,103.120003,226.949997,33.919998,92.830002,154.910004,69.989998,58.18,33.169998,185.949997,42.889999,77.290001,80.599998,209.660004
12/07/17,206.440002,108.959999,103.889999,227.389999,34.25,92.510002,156.580002,71.150002,58.220001,33.220001,186.690002,43.220001,77.519997,80.959999,211.300003
13/07/17,206.229996,108.470001,104.129997,230.399994,34.240002,93.099998,155.039993,71.769997,57.939999,33.279999,185.479996,43.490002,78.010002,80.970001,211.089996
14/07/17,208.509995,108.769997,104.440002,228.600006,34.68,92.25,155.279999,72.779999,58,33.43,186.899994,43.560001,78.910004,81.279999,211.770004
17/07/17,209,108.839996,104.209999,229.259995,34.470001,91.389999,155.259995,73.349998,57.790001,33.25,186.350006,43.66,79.18,80.860001,211.679993
18/07/17,208.240005,107.07,103.720001,223.309998,34.529999,91.07,153.960007,73.300003,57.650002,33.360001,186.850006,43.360001,78.669998,80.599998,211.309998
19/07/17,210.880005,107.849998,104.459999,222.869995,34.560001,91.199997,153.889999,73.860001,57.77,33.619999,189.190002,43.450001,79.559998,80.849998,212.100006
